index,KEY_CODE,lat_max,lat_min,lng_max,lng_min,geometry
48177,5135734842,34.622916676628115,34.620833333333294,135.4875,135.48437499999997,"POLYGON((135.4875 34.6208333333333, 135.4875 34.6229166666667, 135.484375 34.6229166666667, 135.484375 34.6208333333333, 135.4875 34.6208333333333))"
48181,5135734844,34.62500000996174,34.62291666666663,135.4875,135.48437499999997,"POLYGON((135.4875 34.6229166666667, 135.4875 34.625, 135.484375 34.625, 135.484375 34.6229166666667, 135.4875 34.6229166666667))"
48452,5135734833,34.62500000996174,34.62291666666663,135.478125,135.47499999999997,"POLYGON((135.478125 34.6229166666667, 135.478125 34.625, 135.475 34.625, 135.475 34.6229166666667, 135.478125 34.6229166666667))"
48467,5135734831,34.62291667662812,34.62083333333329,135.478125,135.47499999999997,"POLYGON((135.478125 34.6208333333333, 135.478125 34.6229166666667, 135.475 34.6229166666667, 135.475 34.6208333333333, 135.478125 34.6208333333333))"
48733,5135734942,34.62291667662812,34.620833333333294,135.50000000000003,135.496875,"POLYGON((135.5 34.6208333333333, 135.5 34.6229166666667, 135.496875 34.6229166666667, 135.496875 34.6208333333333, 135.5 34.6208333333333))"
48739,5135734944,34.625000009961745,34.62291666666663,135.50000000000003,135.496875,"POLYGON((135.5 34.6229166666667, 135.5 34.625, 135.496875 34.625, 135.496875 34.6229166666667, 135.5 34.6229166666667))"
48956,5135734931,34.62291667662813,34.620833333333294,135.49062500000002,135.48749999999995,"POLYGON((135.490625 34.6208333333333, 135.490625 34.6229166666667, 135.4875 34.6229166666667, 135.4875 34.6208333333333, 135.490625 34.6208333333333))"
48975,5135734933,34.625000009961745,34.62291666666663,135.49062500000002,135.48749999999995,"POLYGON((135.490625 34.6229166666667, 135.490625 34.625, 135.4875 34.625, 135.4875 34.6229166666667, 135.490625 34.6229166666667))"
49322,5135734941,34.62291667662813,34.62083333333329,135.49687500000005,135.49374999999995,"POLYGON((135.496875 34.6208333333333, 135.496875 34.6229166666667, 135.49375 34.6229166666667, 135.49375 34.6208333333333, 135.496875 34.6208333333333))"
49330,5135734943,34.62500000996174,34.62291666666663,135.49687500000005,135.49374999999995,"POLYGON((135.496875 34.6229166666667, 135.496875 34.625, 135.49375 34.625, 135.49375 34.6229166666667, 135.496875 34.6229166666667))"
49458,5135734934,34.62500000996174,34.62291666666663,135.49375,135.49062499999997,"POLYGON((135.49375 34.6229166666667, 135.49375 34.625, 135.490625 34.625, 135.490625 34.6229166666667, 135.49375 34.6229166666667))"
49466,5135734932,34.62291667662812,34.62083333333329,135.49375,135.49062499999997,"POLYGON((135.49375 34.6208333333333, 135.49375 34.6229166666667, 135.490625 34.6229166666667, 135.490625 34.6208333333333, 135.49375 34.6208333333333))"
49728,5135745014,34.62916667662895,34.6270833333333,135.50625000000002,135.50312499999995,"POLYGON((135.50625 34.6270833333333, 135.50625 34.6291666666667, 135.503125 34.6291666666667, 135.503125 34.6270833333333, 135.50625 34.6270833333333))"
49735,5135745034,34.63333334329615,34.631249999999966,135.50625000000002,135.50312499999995,"POLYGON((135.50625 34.63125, 135.50625 34.6333333333333, 135.503125 34.6333333333333, 135.503125 34.63125, 135.50625 34.63125))"
49736,5135745032,34.63125000996255,34.62916666666663,135.50625000000002,135.50312499999995,"POLYGON((135.50625 34.6291666666667, 135.50625 34.63125, 135.503125 34.63125, 135.503125 34.6291666666667, 135.50625 34.6291666666667))"
49743,5135745012,34.62708334329534,34.62499999999997,135.50625000000002,135.50312499999995,"POLYGON((135.50625 34.625, 135.50625 34.6270833333333, 135.503125 34.6270833333333, 135.503125 34.625, 135.50625 34.625))"
49945,5135745042,34.63125000996254,34.62916666666663,135.51250000000002,135.50937499999995,"POLYGON((135.5125 34.6291666666667, 135.5125 34.63125, 135.509375 34.63125, 135.509375 34.6291666666667, 135.5125 34.6291666666667))"
49954,5135745024,34.62916667662895,34.627083333333296,135.51250000000002,135.50937499999995,"POLYGON((135.5125 34.6270833333333, 135.5125 34.6291666666667, 135.509375 34.6291666666667, 135.509375 34.6270833333333, 135.5125 34.6270833333333))"
49957,5135745022,34.62708334329533,34.62499999999997,135.51250000000002,135.50937499999995,"POLYGON((135.5125 34.625, 135.5125 34.6270833333333, 135.509375 34.6270833333333, 135.509375 34.625, 135.5125 34.625))"
49962,5135745044,34.63333334329616,34.631249999999966,135.51250000000002,135.50937499999995,"POLYGON((135.5125 34.63125, 135.5125 34.6333333333333, 135.509375 34.6333333333333, 135.509375 34.63125, 135.5125 34.63125))"
