TIME,start_port_id,end_port_id,user_id,gross_sales_amount_tax_excluded,payment_amount_tax_excluded,ride_duration_seconds
2023-02-09 16:00:00,20058,20058,8jlu9LkMHjfHEU20o5uiM5OktBH3,360,0,1398
2023-02-09 14:00:00,20001,20019,65uTF0owynfgsdqxGZY03R4pX3v1,346,346,1364
2023-02-09 20:00:00,20019,20054,7WVjk9H9TnaDZ1HyGLqJbQ7Xo8n1,360,360,1431
2023-02-09 14:00:00,20001,20019,wmqmM22fJyVqTkojvEjavZhZYBq2,373,373,1483
2023-02-09 14:00:00,20008,20043,Zk4YiLT1n3OKETGUhcaV,387,387,1505
2023-02-08 23:00:00,20033,20033,rQDEoFRGPfXorMMGb7NSShtp07n2,428,0,1698
2023-02-09 08:00:00,20050,20010,8LyNOmBPapNY9fz7hBrKdj0i4Lv1,414,0,1651
2023-02-08 23:00:00,20033,20033,baOuiXxyV3SP3uWN0LXTa7s5ZBu2,414,414,1680
2023-02-10 00:00:00,20039,20062,lRshIR19riUWTu1NRLQwtIlvfxM2,87,87,230
2023-02-10 23:00:00,20008,20054,WHnQVw7OdYN5uIaCRO2wwYRHHTz2,87,87,192
2023-02-10 00:00:00,20062,20039,lRshIR19riUWTu1NRLQwtIlvfxM2,87,87,221
2023-02-10 06:00:00,20047,20042,FIArQPT5vYfEC6oq3lqn2CBBshJ3,114,114,329
2023-02-10 08:00:00,20014,20023,cI5Kl8e0u6cpitKqwY6O,114,114,344
2023-02-10 08:00:00,20051,20062,aUdwYzgPJ4SpuZduv0hzjrhisZx2,128,128,404
2023-02-10 09:00:00,20039,20044,lRshIR19riUWTu1NRLQwtIlvfxM2,141,141,429
2023-02-10 07:00:00,20014,20006,VaYUt9IMr7NiKLIOxOXnCFtnIm72,155,155,494
2023-02-10 06:00:00,20054,20059,PLOBenkuLQdEcJCygbHSJusWGwh1,155,155,493
2023-02-10 07:00:00,20059,20050,PLOBenkuLQdEcJCygbHSJusWGwh1,264,264,962
2023-02-10 01:00:00,20014,20050,fQYWTOkamOYWtkLUi38ZWbmlmIS2,291,0,1124
