port_id,port_name,lat,lng,installation_day,city_id,ward,station,distance,capacity,payment_amount,KEY_CODE
600,LA鳳山,35.678879,139.692225,2021-11-26,shibuya,渋谷区,参宮橋駅,127.2395858746372,2.0,6600.0,5339451514.0
602,べんりーぼっくす渋谷本町,35.683948,139.676614,2021-11-29,shibuya,渋谷区,幡ヶ谷駅,796.8505501177832,4.0,11000.0,5339452411.0
603,olivier odorant目黒,35.640456,139.711704,2021-11-29,shibuya,目黒区,恵比寿駅,617.7033002020216,3.0,8800.0,5339356644.0
604,東京都渋谷区代々木3-50-3,35.681806,139.695933,2021-11-29,shibuya,渋谷区,南新宿駅,251.97196371337083,2.0,6600.0,5339451543.0
605,LA鳳山2,35.678945,139.692137,2021-11-26,shibuya,渋谷区,参宮橋駅,138.05287624704752,2.0,4400.0,5339451514.0
606,TOKYO CIRCUS CAFE,35.648074,139.750379,2021-11-29,shibuya,港区,三田駅,22.3512580324575,2.0,10000.0,5339367033.0
607,エルプレイス三田,35.644746,139.739412,2021-11-29,shibuya,港区,白金高輪駅,438.1702077067704,3.0,8800.0,5339357913.0
608,カフェグローブ横,35.698246,139.75718,2021-12-06,shibuya,千代田区,神保町駅,250.9315370670537,4.0,19800.0,5339463043.0
609,T-BASE池ノ上,35.661503,139.672793,2021-12-06,shibuya,世田谷区,池ノ上駅,170.9729912115069,8.0,26400.0,5339359324.0
610,大久保ビル,35.688556,139.719299,2021-12-06,shibuya,新宿区,四谷三丁目駅,119.16822436808404,6.0,30000.0,5339452741.0
611,PASEO神宮前,35.670447,139.71077,2021-12-06,shibuya,渋谷区,明治神宮前駅,467.5173166526311,3.0,6930.0,5339450624.0
612,ホテルウィングインターナショナルプレミアム東京四谷,35.687975,139.718235,2021-12-30,shibuya,新宿区,四谷三丁目駅,192.88392045630235,5.0,15400.0,5339452732.0
613,ZINE YOYOGI-KOEN,35.665632,139.69343,2021-12-06,shibuya,渋谷区,代々木公園駅,588.956704147897,4.0,13200.0,5339359534.0
614,TRAIN TRAIN TRAIN,35.652746,139.70688,2021-12-02,shibuya,渋谷区,代官山駅,621.0015976512917,3.0,4950.0,5339358623.0
615,ニチエーパーク芝第1,35.651903,139.74715,2021-12-13,shibuya,港区,芝公園駅,348.7393648941209,4.0,17600.0,5339358922.0
616,目黒区駒場1-36-17,35.656516,139.684367,2021-12-13,shibuya,目黒区,駒場東大前駅,282.1869434628533,9.0,19800.0,5339358443.0
617,ジョイ渋谷センチュリー,35.656506,139.706195,2021-12-06,shibuya,渋谷区,渋谷駅,354.11786838064336,4.0,11000.0,5339358634.0
618,マートルコート駒沢大学,35.638765,139.661756,2021-12-30,shibuya,世田谷区,駒沢大学駅,584.331626416218,3.0,8250.0,5339356242.0
619,レジディア碑文谷,35.624078,139.68708,2021-12-24,shibuya,目黒区,学芸大学駅,495.9059036040369,4.0,13200.0,5339354444.0
620,レジディア目黒Ⅳ,35.633659,139.708335,2021-12-30,shibuya,目黒区,目黒駅,642.338061650006,8.0,26400.0,5339356621.0
621,レジディア御茶ノ水Ⅲ,35.700719,139.76885,2021-12-13,shibuya,千代田区,末広町駅,383.319281848464,5.0,11000.0,5339464121.0
622,アティレビル,35.713073,139.706395,2021-12-30,shibuya,新宿区,高田馬場駅,44.80481915379182,3.0,11000.0,5339455641.0
623,平河町フロントビル,35.682961,139.739627,2021-12-13,shibuya,千代田区,半蔵門駅,241.92390358295108,6.0,19800.0,5339451933.0
624,柿の木坂パレス,35.628883,139.67447,2021-12-30,shibuya,世田谷区,学芸大学駅,943.389881885162,10.0,13200.0,5339355324.0
626,白金台アパートメント,35.638717,139.72279,2021-12-24,shibuya,港区,白金台駅,360.0112415236874,4.0,11550.0,5339356742.0
627,歌舞伎座駐輪場3F,35.670144,139.768069,2021-12-13,shibuya,中央区,東銀座駅,112.65386000011064,4.0,8800.0,5339460114.0
628,PASEO Higashi Shinjuku,35.698165,139.713805,2021-12-13,shibuya,新宿区,東新宿駅,479.0642439160401,4.0,11550.0,5339453733.0
629,リバーサイド品川港南ビル 　駐輪場,35.622737,139.744212,2021-12-13,shibuya,品川区,北品川駅,440.7119806753092,3.0,11000.0,5339354941.0
630,アストリア南麻布,35.650544,139.734291,2021-12-29,shibuya,港区,麻布十番駅,612.6524314410345,4.0,13200.0,5339358821.0
631,ブルックサイド水天宮前,35.681544,139.788155,2021-12-13,shibuya,中央区,水天宮前駅,232.4818723233114,10.0,40000.0,5339461333.0
632,レジディア三軒茶屋Ⅲ,35.642939,139.665226,2021-12-30,shibuya,世田谷区,西太子堂駅,209.52364072768367,2.0,6600.0,5339357311.0
633,畔上センタービル,35.712963,139.703243,2021-12-13,shibuya,新宿区,高田馬場駅,139.98654899202094,2.0,6600.0,5339455632.0
634,山田ビル,35.710991,139.722929,2021-12-24,shibuya,新宿区,早稲田駅,340.9413854433963,7.0,24750.0,5339455724.0
635,港区西麻布4丁目,35.658012,139.722887,2021-12-24,shibuya,港区,六本木駅,821.6920914162954,7.0,17600.0,5339358744.0
636,felicita牛込柳町,35.701479,139.726024,2021-12-13,shibuya,新宿区,牛込柳町駅,231.19500155696323,3.0,6600.0,5339454811.0
637,東劇ビル,35.667842,139.768337,2021-12-13,shibuya,中央区,東銀座駅,214.302072647773,3.0,8800.0,5339460112.0
638,コレクティブレジデンス恵比寿,35.646997,139.717652,2021-12-24,shibuya,渋谷区,広尾駅,577.8161929278439,6.0,15400.0,5339357732.0
639,KDX日本橋313ビル,35.679339,139.774762,2021-12-24,shibuya,中央区,日本橋駅,287.61029788236294,7.0,24750.0,5339461142.0
640,勝栄ビル,35.683412,139.701147,2021-12-23,shibuya,渋谷区,代々木駅,70.47936736096463,10.0,36300.0,5339452611.0
641,サクラクロスホテル新宿東,35.697957,139.71228,2021-12-23,shibuya,新宿区,東新宿駅,340.04338000652854,3.0,8800.0,5339453644.0
642,アリーチェ高田馬場,35.714187,139.699937,2021-12-23,shibuya,新宿区,高田馬場駅,387.7085899648059,20.0,38500.0,5339455542.0
643,FALAFEL BROTHERS恵比寿店,35.649753,139.711937,2021-12-23,shibuya,渋谷区,恵比寿駅,443.4448748441598,2.0,4400.0,5339357644.0
644,JASPER学芸大学,35.625051,139.696173,2021-12-24,shibuya,目黒区,武蔵小山駅,883.9018651760108,6.0,9900.0,5339355521.0
645,WILL 信濃町,35.684765,139.721827,2021-12-23,shibuya,新宿区,四谷三丁目駅,375.7288902261569,18.0,33000.0,5339452721.0
646,ルネサンスコート秋葉原,35.694008,139.77925,2021-12-24,shibuya,千代田区,馬喰町駅,255.159431764436,4.0,13860.0,5339463214.0
647,クロスシー渋谷神泉ビル,35.656873,139.69164,2021-12-23,shibuya,渋谷区,神泉駅,178.12300671150655,5.0,13200.0,5339358534.0
648,CITYSPIRE半蔵門,35.685728,139.739051,2021-12-23,shibuya,千代田区,麹町駅,186.6845146918969,3.0,6600.0,5339452913.0
649,ラヴェール新大久保,35.703155,139.697534,2021-12-24,shibuya,新宿区,新大久保駅,296.1310861481321,5.0,9900.0,5339454524.0
650,ザ・コマザワタワー,35.631488,139.656544,2021-12-24,shibuya,世田谷区,駒沢大学駅,523.0907102943704,7.0,13200.0,5339355243.0
651,第8フォンタナ駒沢,35.633282,139.654801,2021-12-24,shibuya,世田谷区,駒沢大学駅,630.3339674629129,6.0,11550.0,5339355234.0
